node_idx,pred,important_edges,fidelity+,fidelity-,sparsity,stability
5689,0,5,1.0,1.0,0.9999139207382157,0.9998967051506042
5877,2,43,1.0,1.0,0.9992597183486555,0.999887228012085
5857,1,8,0.0,1.0,0.9998622731811452,0.9998883605003357
5773,2,2,0.0,0.0,0.9999655682952863,0.9998956918716431
5695,0,7,0.0,1.0,0.9998794890335021,0.9998909831047058
5852,2,3,0.0,1.0,0.9999483524429295,0.9998931884765625
5727,0,7,1.0,1.0,0.9998794890335021,0.9998939633369446
5697,0,0,0.0,0.0,1.0,0.999894380569458
5836,0,38,1.0,1.0,0.9993457976104397,0.9998989701271057
5724,0,4,0.0,1.0,0.9999311365905726,0.9998914003372192
5775,0,11,1.0,1.0,0.9998106256240746,0.9998955726623535
5746,0,15,1.0,1.0,0.9997417622146473,0.9998973608016968
5898,0,11,1.0,1.0,0.9998106256240746,0.9998987913131714
5851,0,39,1.0,1.0,0.9993285817580828,0.9998778104782104
5686,0,5,1.0,1.0,0.9999139207382157,0.9998910427093506
5818,2,0,0.0,0.0,1.0,0.999893307685852
5806,1,10,1.0,1.0,0.9998278414764314,0.9998987913131714
5772,2,1,0.0,1.0,0.9999827841476432,0.9998856782913208
5855,2,20,1.0,1.0,0.999655682952863,0.99955153465271
5823,0,3,0.0,1.0,0.9999483524429295,0.9998925924301147
